Year,Month,January
1993,1,1.078
1994,1,0.998
1995,1,1.13
1996,1,1.137
1997,1,1.283
1998,1,1.132
1999,1,0.98
2000,1,1.329
2001,1,1.487
2002,1,1.148
2003,1,1.5
2004,1,1.614
2005,1,1.875
2006,1,2.36
2007,1,2.289
2008,1,3.095
2009,1,1.84
2010,1,2.769
2011,1,3.148
2012,1,3.44
2013,1,3.391
2014,1,3.392
2015,1,2.208
2016,1,2.057
2017,1,2.458
2018,1,2.671
2019,1,2.338
2020,1,2.636
1993,2,1.1
1994,2,1.009
1995,2,1.12
1996,2,1.136
1997,2,1.276
1998,2,1.096
1999,2,0.962
2000,2,1.415
2001,2,1.49
2002,2,1.155
2003,2,1.655
2004,2,1.69
2005,2,1.953
2006,2,2.326
2007,2,2.323
2008,2,3.078
2009,2,1.975
2010,2,2.699
2011,2,3.264
2012,2,3.64
2013,2,3.736
2014,2,3.434
2015,2,2.301
2016,2,1.872
2017,2,2.416
2018,2,2.705
2019,2,2.393
2020,2,2.533
1993,3,1.097
1994,3,1.008
1995,3,1.119
1996,3,1.183
1997,3,1.251
1998,3,1.064
1999,3,1.022
2000,3,1.556
2001,3,1.45
2002,3,1.289
2003,3,1.734
2004,3,1.778
2005,3,2.12
2006,3,2.468
2007,3,2.609
2008,3,3.293
2009,3,2.011
2010,3,2.824
2011,3,3.615
2012,3,3.907
2013,3,3.779
2014,3,3.606
2015,3,2.546
2016,3,2.071
2017,3,2.437
2018,3,2.709
2019,3,2.594
1993,4,1.078
1994,4,1.027
1995,4,1.157
1996,4,1.275
1997,4,1.244
1998,4,1.077
1999,4,1.171
2000,4,1.506
2001,4,1.591
2002,4,1.439
2003,4,1.633
2004,4,1.839
2005,4,2.285
2006,4,2.787
2007,4,2.891
2008,4,3.507
2009,4,2.102
2010,4,2.9
2011,4,3.852
2012,4,3.958
2013,4,3.638
2014,4,3.735
2015,4,2.555
2016,4,2.216
2017,4,2.528
2018,4,2.873
2019,4,2.881
1993,5,1.062
1994,5,1.047
1995,5,1.225
1996,5,1.324
1997,5,1.245
1998,5,1.105
1999,5,1.171
2000,5,1.526
2001,5,1.738
2002,5,1.434
2003,5,1.539
2004,5,2.023
2005,5,2.205
2006,5,2.953
2007,5,3.187
2008,5,3.815
2009,5,2.316
2010,5,2.89
2011,5,3.96
2012,5,3.791
2013,5,3.675
2014,5,3.75
2015,5,2.802
2016,5,2.371
2017,5,2.503
2018,5,2.987
2019,5,2.946
1993,6,1.05
1994,6,1.078
1995,6,1.239
1996,6,1.3
1997,6,1.242
1998,6,1.103
1999,6,1.154
2000,6,1.666
2001,6,1.658
2002,6,1.424
2003,6,1.533
2004,6,2.013
2005,6,2.198
2006,6,2.93
2007,6,3.102
2008,6,4.105
2009,6,2.681
2010,6,2.785
2011,6,3.735
2012,6,3.596
2013,6,3.689
2014,6,3.766
2015,6,2.885
2016,6,2.467
2017,6,2.46
2018,6,2.97
2019,6,2.804
1993,7,1.092
1994,7,1.106
1995,7,1.201
1996,7,1.272
1997,7,1.22
1998,7,1.094
1999,7,1.197
